_id,School Name,School Number,OSSD Credits Offered,Principal Name,Suite,PO Box,Street Address,City,Province,Postal Code,Telephone Number,Fax,Region,School Email Address,School Website,School Level,School Special Conditions Type,Program Type,Association Membership
103,Amani Private School,884996,,Fareen Khimji,,,36 Broadlands Blvd.,North York,Ontario,M3A1J3,,,Toronto Region,admin@amanischool.ca,www.amanischool.ca,Elementary,Not applicable,Site based only,No Association Membership
104,Ambassadors Christian School,669258,,Caroline Vangrootheest,,,2031 Stittsville Main St,Stittsville,Ontario,K2S1B8,343-887-9449,,East Region,admin@ambassadorschristianschool.ca,www.ambassadorschristianschool.ca,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
105,Amberson College High School,667063,Offers credits toward the Ontario Secondary School Diploma (OSSD),Dirk Xu,202,,7100 Birchmount Road,Markham,Ontario,L3R4H2,416-495-0888,416-495-0809,East Region,dirk@ambersoncollege.ca,www.ambersoncollege.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
106,Amberson High School,884298,Offers credits toward the Ontario Secondary School Diploma (OSSD),Desiree Dong,,,7100 Birchmount Road,Markham,Ontario,L3R4H2,905-889-0688,,Central Region,info@ambersoncollege.ca,www.ambersoncollege.ca,Secondary,All Year Round,Online/Site Based,No Association Membership
107,Amberwood Academy,882140,Offers credits toward the Ontario Secondary School Diploma (OSSD),Sophia Li,201,,201 Consumers Rd,North York,Ontario,M2J4G8,416-306-2066,,Toronto Region,info@amberwoodcollege.com,amberwoodcollege.com,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
108,American Islamic High School,885709,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ahmed Geddy,200,,2020 Winston Park Drive,Oakville,Ontario,L6H6X7,289-207-5733,,Central Region,admin@canadianislamicschool.com,,Secondary,Not applicable,Online Only,No Association Membership
109,American Islamic School,667049,,Ahmed Geddy,200,,2010 Winston Park Drive,Oakville,Ontario,L6H5R7,647-724-8064,,Central Region,admin@americanislamic.school,www.americanislamic.school,Elem/Sec,Not applicable,Online Only,No Association Membership
110,Amish Parochial School #1,887447,,Wendy Kuepfer,,,2740 Chalmers-Forrest Road 1,Millbank,Ontario,N0K1L0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
111,Amish Parochial School #2,887846,,Leona Kuepfer,,,4036 Line 76 1,Newton,Ontario,N0K1R0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
112,Amish Parochial School #3,887854,,Katrina Albrecht,,,4286 Line 67 1,Milverton,Ontario,N0K1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
113,Amish Parochial School #4,887706,,Janessa Wagler,,,4852 Line 72 2,Milverton,Ontario,N0K1M0,519-597-2789,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
114,Amish Parochial School #5,889687,,Rosanna Kuepfer,,,6327 Road 116 1,Milverton,Ontario,N0K1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
115,Amish Parochial School #6,882631,,Christina Ebersol,,,5124 B Line 62 2,Milverton,Ontario,N0K1M0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
116,Amish Parochial School #7,876364,,Sarah Davidson,6943,,129 Perth Road,Newton,Ontario,N0K1R0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
117,Amish Parochial school #8,665285,,Carlene Albrecht,,,7023 Road 136 1,Newton,Ontario,N0K1R0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
118,An-Noor Private School,877115,,Amney Behiry,,,5791 N Townline Ave,Amherstburg,Ontario,N9V2Y9,519-966-4422,519-966-5233,West Region,office@annoorschool.com,,Elementary,Not applicable,Site based only,Other
119,Ancaster Forest and Nature School,669786,,Dustin Hubert,,,437 Wilson Street,Ancaster,Ontario,L9G3E1,905-906-1351,,West Region,dustin@afns.ca,,Elementary,Not applicable,Online/Site Based,No Association Membership
120,Anchor Christian Academy,882968,,Sharmane Horst,,,74 Parkview Drive,Stratford,Ontario,N5A4R6,519-508-5051,,West Region,acastratford@gmail.com,,Elementary,Not applicable,Site based only,No Association Membership
121,Apex Academy,885063,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ian Hughes,220,,410 Adelaide Street West,Toronto,Ontario,M5V1S8,866-428-0666,,Toronto Region,principal@apexacademyonline.com,www.apexacademyonline.com,Secondary,All Year Round,Online Only,No Association Membership
122,Apollo High School,668639,Offers credits toward the Ontario Secondary School Diploma (OSSD),Timothy Kim,200,,80 Sheppard Avenue West,Toronto,Ontario,M2N1M2,416-229-1999,,Central Region,info@apollohighschool.ca,www.apollohighschool.ca,Secondary,Not applicable,Site based only,No Association Membership
123,Appleby College,885924,Offers credits toward the Ontario Secondary School Diploma (OSSD),Innes van Nostrand,,,540 Lakeshore Rd W,Oakville,Ontario,L6K3P1,905-845-4681,905-845-9335,Central Region,tbreukelman@appleby.on.ca,http://www.appleby.on.ca,Elem/Sec,Not applicable,Site based only,Conference of Independent Schools of Ontario
124,Ar Rashaad Academy,888701,,Sazia Atcha,1&2,,18 Automatic road,Brampton,Ontario,L6S5N5,905-595-1137,,Central Region,school@arrashaad.com,www.arrashaad.com,Elementary,Not applicable,Site based only,No Association Membership
125,Ariss Valley Parochial School,884122,,Lucille Brubacher,,,5986 Eighth Line,Ariss,Ontario,N0B1B0,,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
126,Arkana Education,665719,,Shahin Esmaeiliazad,,,900 York Mills Road,North York,Ontario,M3B3H2,416-222-4461,,Central Region,info@arkanaeducation.ca,www.arkanaeducation.org,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
127,Arkana Education Sudbury,889722,,Shahin Esmaeiliazad,,,"Level 2, 124 Cedar Street",Sudbury,Ontario,P3E3L6,416-897-4461,,North Region,info@arkanaeducation.ca,,Elem/Sec,Not applicable,Online Only,No Association Membership
128,Arrowsmith School,880779,,Shelley Woon,,,245 St Clair Ave W,Toronto,Ontario,M4V1R3,416-963-4962,416-963-5017,Toronto Region,reception@arrowsmithschool.org,http://www.arrowsmithschool.org,Elem/Sec,Not applicable,Online/Site Based,Independent and Private School Forum
129,Arthur Christian School,665378,,Keith Brubacher,,340,161 Eliza Street,Arthur,Ontario,N0G1A0,519-848-2218,519-848-9830,West Region,arthurchristianschool@gmail.com,,Elem/Sec,Not applicable,Site based only,Mennonite school community
130,As-Sadiq Islamic,876798,Offers credits toward the Ontario Secondary School Diploma (OSSD),Mario Boccia,,,9000 Bathurst St,Thornhill,Ontario,L4J8A7,905-695-1588,905-695-1590,Central Region,Tlakha@as-sadiqschool.com,http://www.as-sadiqschool.com,Elem/Sec,Not applicable,Site based only,No Association Membership
131,Ashbury College,886297,Offers credits toward the Ontario Secondary School Diploma (OSSD),Norman Southward,,,362 Mariposa Ave,Ottawa,Ontario,K1M0T3,613-749-5954,613-749-9724,East Region,norman.southward@ashbury.ca,http://www.ashbury.ca,Elem/Sec,All Year Round,Site based only,Conference of Independent Schools of Ontario
132,Ashwood Glen,884822,,Mai Mossad,,,3430 Fairview Street,Burlington,Ontario,L7N2R5,905-320-1272,,West Region,office@ashwoodglen.com,www.ashwoodglen.com,Elementary,Not applicable,Site based only,No Association Membership
133,Ashwood International Collegiate,667900,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rashida Suleman,,,1893 baseline road,ottawa,Ontario,K2C0C7,905-691-7608,,East Region,info@ashwoodinternationalcollegiate.ca,,Secondary,Not applicable,Online/Site Based,No Association Membership
134,Aspiration Academy,881729,,Rachel Lam,201/202 - 301/302,,327 Renfrew Drive,Markham,Ontario,L3R9S8,905-752-0988,,Central Region,rlam@aspirationanddiscoveries.com,www.aspirationanddiscoveries.com,Elementary,Not applicable,Site based only,No Association Membership
135,Aspire Academy,885039,,Jamie GALLANT,,,"2013 Old Carp Road, Carp",Carp,Ontario,K0A1L0,613-858-9129,,East Region,academy@insideaspire.com,www.insideaspireacademy.com,Elementary,Not applicable,Site based only,No Association Membership
136,Associated Hebrew Schools of Toronto,887315,,Lee-Ron Kaye,,,18 Neptune Drive,Toronto,Ontario,M6A1X1,416-787-1872,416-787-6155,Central Region,oshulman@ahschools.com,https://associatedhebrewschools.com/,Elementary,Not applicable,Site based only,Centre for Jewish Education
137,Associated Hebrew Schools of Toronto,889156,Offers credits toward the Ontario Secondary School Diploma (OSSD),Peter Rewega,,,252 Finch Ave W,Toronto,Ontario,M2R1M9,416-494-7666,416-494-3477,Central Region,lkaye@ahschools.com,www.associatedhebrewschools.com,Elem/Sec,Not applicable,Site based only,Centre for Jewish Education
138,Astolot Education Centre,666610,Offers credits toward the Ontario Secondary School Diploma (OSSD),Andrew Stewart,,,2211 Thurston Drive,Ottawa,Ontario,K1G6C9,613-260-5996,,East Region,jennifercowan@astolot.com,http://www.astolot.com/,Elem/Sec,Not applicable,Site based only,No Association Membership
139,Astrum Academy,668383,Offers credits toward the Ontario Secondary School Diploma (OSSD),Vahe Drnoyan,,,10201 Yonge Street,Richmond Hill,Ontario,L4C3B2,416-301-4635,,Central Region,schooladmin@astrum-academy.com,astrum-academy.com,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
140,Asynchronous Academy,665288,Offers credits toward the Ontario Secondary School Diploma (OSSD),Gregory Senyshyn,,,404 St. Albert St.,Kincardine,Ontario,N2Z2V2,613-212-5989,,West Region,contact@asyncacademy.ca,https://asyncacademy.ca,Secondary,All Year Round,Online Only,No Association Membership
141,At Last Forest School - Lindsay,665699,,Laurie Hannon,,,277 Kenrie Rd,Lindsay,Ontario,K9V4R2,519-379-6383,,East Region,alfslindsay@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
142,At Last Forest School - Owen Sound,669486,,Katie Miller,,,72 2nd Avenue East,Owen Sound,Ontario,N4K5T2,519-373-6951,,West Region,osforestschool@gmai.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
143,At Last Forest School - Port Elgin,665230,,Christine Brown,,,1593 Bruce Road 33,Saugeen Shores,Ontario,N0H2C0,519-379-6383,,West Region,osforestschool@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
144,At Last Forest School - Stevensville,668915,,Christine Brown,,,2555 Ott Rd,Stevensville,Ontario,L0S1S0,519-379-6383,,West Region,atlastforestschools@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,nan,
145,At Last Forest School Kincardine,667562,,Christine Brown,,,512-550 Bruce Avenue,Ripley,Ontario,N0G2R0,519-379-6383,,West Region,kforestschool@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
146,At Last Forest School- Farm School,667474,,Tracy Fidler,,,241063 Concession 3 Kemble 3,kemble,Ontario,N0H1A0,519-379-6383,,West Region,ffforestschool@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
147,At Last Forest Schools - Galbriath,669748,,Mary-Frances Lambert-Hill,,,7407 Road 140,Newton,Ontario,N4W3G9,519-379-6383,,West Region,galbraithforestschool@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
148,At Last Forest Schools - Huntsville,883525,,Kelly Kay,,,451 Arrowhead Park Rd,Huntsville,Ontario,P1H2J4,519-379-6383,,Central Region,alfshuntsville@gmail.com,www.atlastforestschools.com,Elementary,Not applicable,Site based only,No Association Membership
149,Athens Christian Academy Ltd,668386,,Jennifer Feenstra,,,15 Church Street,Athens,Ontario,K0E1B0,613-924-0002,,East Region,AthensChristianAcademy@hotmail.com,,Elementary,Not applicable,Site based only,No Association Membership
150,Atlas Academy,882166,Offers credits toward the Ontario Secondary School Diploma (OSSD),Ganka Sivapathasundaram,,1594,5710 Stouffville Main Street,Stouffville,Ontario,L4A8A4,416-554-2853,,Central Region,ganka_s@yahoo.com,www.atlasacademy.ca,Secondary,Not applicable,Online/Site Based,No Association Membership
151,Attercliffe Canadian Reformed Elementary,877212,,Clarence Blokhuis,,,85785 Canborough Rd RR 1,Dunnville,Ontario,N1A2W1,905-774-9009,905-774-3318,West Region,office@acreschool.ca,,Elementary,Not applicable,Site based only,League of Canadian Reformed School Societies
152,Aubrey Academy,665140,Offers credits toward the Ontario Secondary School Diploma (OSSD),Jasmine Nazarali,,,82 Serano cres,Richmond Hill,Ontario,L4E0R7,647-963-6030,,Central Region,jasmine_n@live.ca,www.aubreyacademy.ca,Secondary,All Year Round,Online Only,No Association Membership
153,Aurora Montessori School,884995,Applied to offer credits toward the Ontario secondary School Diploma (OSSD),Rosanna Gaudio,,,330 Industrial Parkway N,Aurora,Ontario,L4G4C3,905-841-0065,905-841-2022,Central Region,info@auroramontessori.com,http://www.auroramontessori.com,Elem/Sec,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
154,Aurora Preparatory Academy,885099,,Rhonda Mills-Vissers,,,81 Industrial Parkway North,Aurora,Ontario,L4G4C4,905-713-1141,,Central Region,cosentino@aurora-prep.com,www.aurora-prep.com,Elementary,Not applicable,Site based only,No Association Membership
155,Autumn Hill Academy,669532,,Jessica Vincelli,,,9050 Dufferin Street,Concord,Ontario,L4K5M4,905-417-9779,,Central Region,office@autumnhillacademy.ca,autumnhillacademy.ca,Elementary,Not applicable,Site based only,No Association Membership
156,Avalon Children's Montessori School,666815,,Sherry VanDerKooi,,,65 Glen Manor Drive,Toronto,Ontario,M4E3V3,416-686-6621,,Toronto Region,office@avalonmontessori.ca,www.avalonmontessori.ca,Elementary,Not applicable,Site based only,Ontario Federation of Independent Schools
157,Averroes Academy,665019,Offers credits toward the Ontario Secondary School Diploma (OSSD),Udai Hassein,,,5751 Volpe Ave.,Mississauga,Ontario,L5V2X5,416-723-8974,,Central Region,uhassein@gmail.com,,Elem/Sec,All Year Round,Online/Site Based,No Association Membership
158,Ayabeh Skills Academy,664047,,Kassandra Churcher,,,312 Laurier East Avenue,Ottawa,Ontario,K1N1H9,613-744-7667,,East Region,info@ayabeh.com,,Elementary,First Nation,nan,
159,Azad Education,668486,,Ashraf Jamali,201,,726 Dundas St.,Woodstock,Ontario,N4S1E7,647-709-4242,,West Region,a.jamali.school@gmail.com,,Elem/Sec,Not applicable,Online/Site Based,No Association Membership
160,Baibombeh Anishinabe School,663581,Offers credits toward the Ontario Secondary School Diploma (OSSD),Tracy Des Roches,,,1001 Baibombeh Road,Pawitik,Ontario,P0X1L0,807-226-5698,807-226-5102,North Region,Jocelyn.phung@baibombeh.ca,,Elem/Sec,First Nation,Site based only,No Association Membership
161,Baig Academy,885730,Offers credits toward the Ontario Secondary School Diploma (OSSD),Javed Faruqui,27,,3460 Platinum Drive,Mississauga,Ontario,L5M2S4,905-581-1933,905-997-8387,Central Region,baigacademy@gmail.com,baigacademy.org,Secondary,All Year Round,Online/Site Based,No Association Membership
162,Bais Chaya Mushka,877662,,Yaakov Vidal,,,4375 Chesswood Drive,Toronto,Ontario,M3J2C2,416-398-9532,416-631-1110,Central Region,,,Elementary,Not applicable,Site based only,No Association Membership
163,Bais Chomesh High School for Girls,878774,Offers credits toward the Ontario Secondary School Diploma (OSSD),Rivka Yarmush,,,3600 Bathurst St,Toronto,Ontario,M6A2C9,416-631-0585,416-631-0244,Toronto Region,Baischomesh@gmail.com,,Secondary,Not applicable,Site based only,No Association Membership
164,Bais Yaakov Elementary School,888486,,Esther Scheiner,,,15 Saranac Boulevard,Toronto,Ontario,M6A2G4,416-785-0750,416-785-9769,Toronto Region,bwilhelm@baisyaakov.ca,,Elementary,Not applicable,Site based only,No Association Membership
165,Bais Yaakov of Thornhill,668022,,Rivka Steier,,,613 Clark Ave. W.,Thornhill,Ontario,L4J5V3,905-764-1800,,Toronto Region,lirons@byth.ca,,Elementary,Not applicable,Site based only,No Association Membership
166,Balanced Education Network B.E.N. School,887316,,Ilaria Sheikh,,,394 Ha HARVIE AVE,Toronto,Ontario,M6E4L8,647-237-2648,416-653-8680,Toronto Region,ilaria.benget@gmail.com,www.benschoolhouse.com,Elementary,Not applicable,Site based only,No Association Membership
167,Balsam Grove Parochial,887463,,Martha Martin,,,2542 Northfield Drive East 2,Elmira,Ontario,N3B2Z2,519-669-8522,,West Region,,,Elementary,Not applicable,Site based only,No Association Membership
168,Bannockburn School,876135,,Jacqueline Richman,,,3080 Bayview Ave,North York,Ontario,M2N5L3,416-789-7855,,Toronto Region,bannockburn@bannockburn.ca,www.bannockburn.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
169,Barrie Montessori & Elementary Private S,883576,,Dawn Allen,,,580 Bayfield ST,Barrie,Ontario,L4M5A2,705-728-0303,,Central Region,barriemontessori@yahoo.ca,www.barriemontessori.ca,Elementary,Not applicable,Site based only,Canadian Council of Montessori Administrators (CCMA)
